Registrant Name,Sector,Amount
"Vermont Telephone Company, Inc",Telecommunications,105792.20999999999
Pomerleau Real Estate,Real Estate,105636.65
Vermont Insurance Agents Association,Insurance,104451.0
"Uber Technologies, Inc.",Transportation,103050.0
"Vermont Afterschool, Inc.",Education,102315.87999999999
"V.R.D., Inc.",Pharmaceuticals,101677.36
"DraftKings, Inc.",Gaming,100949.46
Vermont Public Transportation Association,Transportation,100110.04000000001
Maximus,Health Care,98980.75
American Resort Development Association,Real Estate,96075.0
Vermont Society of Certified Public Accountants,Labor Unions,96003.48999999999
Vermonters for Schools and Communities,Education,96000.0
Wells Fargo,Bank & Finance,95733.51
OAS Inc.,Health Care,95500.0
"Nature Conservancy, The",Environment,95460.10999999999
Vermont Retail Druggists,Pharmaceuticals,95353.0
Vermont Brewers Association,Alcohol,94858.30000000002
Vermont Housing & Conservation Coalition,Housing,93249.66
"FanDuel, Inc",Gaming,92629.47
Enterprise Holdings,Transportation,91089.14
Bank of America,Bank & Finance,90125.65000000002
Campaign for the Fair Sentencing of Youth,Civil & Criminal Justice,90065.0
Vermont Municipal Clerks & Treasurers Association,Government & Public Affairs,90000.0
3M Company,Manufacturing,89751.0
Nationwide Insurance Companies,Insurance,89352.03
Diageo,Alcohol,88590.0
Burlington Electric Department,Energy,87636.51000000001
Associated Industries of VT,Manufacturing,85024.8
Vermont Network Against Domestic & Sexual Violence,Civil & Criminal Justice,84992.01999999999
Abbott,Pharmaceuticals,83560.9
Forest Partnership,Environment,83080.91
CIGNA HealthCare,Health Care,82000.0
Exxon Mobil Corporation,Energy,81711.0
"Express Scripts, Inc.",Pharmaceuticals,80418.90000000001
Deere & Company,Manufacturing,80000.0
Merck Sharp & Dohme Corp,Pharmaceuticals,79761.41999999998
American Council of Life Insurers,Insurance,79565.0
Compassion & Choices,Health Care,79050.06
Dartmouth-Hitchcock Medical Center,Health Care,79000.0
"Medco Health Solutions, Inc.",Health Care,78059.45999999999
Vermont Coalition for Disability Rights,Accessibility,77500.0
American Civil Liberties Union of Vermont,Civil & Criminal Justice,76964.94000000003
Fletcher Allen Health Care,Health Care,76654.0
Vermont Information Technology Leaders,Telecommunications,76346.39
Consumer Healthcare Products Association,Health Care,75954.59000000003
Champlain Housing Trust,Housing,74661.70000000001
"OneCare Vermont, LLC",Health Care,72806.15
Vermont Center for Independent Living,Accessibility,71419.63
APS Healthcare,Health Care,70600.0
Vermont Principals Association,Education,70033.29000000004
Iberdrola Renewables,Environment,69673.06
Fletcher Allen Heallth Care,Health Care,69176.0
"Greenwich Biosciences, Inc.",Pharmaceuticals,69173.95999999999
Northeastern Retail Lumber Association,Environment,69083.29000000001
CoreCivic,Civil & Criminal Justice,67253.30999999998
Service Employee International Union (SEIU),Labor Unions,66500.0
American Petroleum Association,Energy,66488.5
Vermont Pharmacists Association,Pharmaceuticals,65140.0
Vermonters for Health Care Freedom,Health Care,65126.44
Vermont Right to Life Committee,Health Care,64443.12000000002
McKesson Corporation,Health Care,64225.0
Voices for Vermont's Children,Children & Youth,62918.47000000001
CIGNA Healthcare,Health Care,62000.0
TDI New England,Environment,61833.17000000001
DXC Technology Company,Telecommunications,61714.259999999995
Jay Peak Inc.,Ski industry,61144.4
Fairpoint Communications,Telecommunications,60231.84
Main Street Alliance of Vermont,Business,60198.25
"Intrado, Inc.",Telecommunications,60195.0
Vermont Building & Construction Trades Council,Real Estate,60000.0
Hewlett-Packard Company,Manufacturing,60000.0
FairPoint Communications,Telecommunications,59786.75
Town & Village of Woodstock,Government & Public Affairs,58826.71
Vermont Council on the Arts,Arts,57805.49
Vermont Energy Partnership,Energy,57777.75
Vermont Mortgage Bankers Association,Bank & Finance,57544.96
Middlebury College,Education,57414.5
Long Trail School,Education,57332.92
Vermont Association of Nurse Anesthetists,Health Care,56509.0
NeighborWorks of Western Vermont,Housing,56500.0
Vermont CARES,Health Care,56500.0
CropLife America,Agriculture ,55857.149999999994
Spectrum Youth & Family Services,Children & Youth,55227.5
Grassroots Vermont,Marijuana,54913.0
National Rifle Association of America,Telecommunications,54386.16000000001
Association of Vermont Independent Colleges,Education,53999.0
Housing Vermont,Housing,53030.24
Maple Leaf Farm,Agriculture ,52500.0
T-Mobile Us Inc.,Telecommunications,52400.0
Vermont Federation of Nurses & Health Professionals,Labor Unions,52298.26
"Sam Action, Inc.",Marijuana,51664.05
Greater Burlington Industrial Corporation,Business,51583.32
Vermont Affordable Housing Coalition,Housing,51474.0
Greater Burlington YMCA,Labor Unions,51256.0
Vermont Acupuncture Association,Health Care,51166.60000000001
The Permanent Fund for Vermont's Children,Childern & Youth,51121.45
Working Lands Coalition,Agriculture ,50620.04
Northeast Equipment Dealers Association,Business,50410.74
The J.M. Smucker Company,Manufacturing,50287.5
Vermonters for a Clean Environment,Environment,49693.74
AllEarth Renewables,Environment,49494.66
"Washington Electric Cooperative, Inc",Energy,49297.45999999997
Vermont State Labor Council,Labor Unions,49196.369999999995
Vermont PBS,Media & Journalism,49030.54
AMTA-VT,Health Care,48999.3
Beaverwood Energy,Energy,48750.75
Takeda Pharmaceuticals America,Pharmaceuticals,47759.95
"Lyft, Inc.",Transportation,47505.0
Vermont Petroleum Associaton,Energy,47456.0
Vermont Dental Hygienist's Association,Health Care,46850.0
Vermont Conservation Voters,Environment,46558.51000000001
CVAA - Champlain Valley Agency on Aging,Elderly,45620.00000000001
"Indivior, Inc.",Health Care,45457.0
UPS,Transportation,45331.34
SunEdison,Energy,45000.0
Vermont Wind LLC,Energy,45000.0
Vermont Association of Adult Day Services,Health Care,44694.0
Vermont Arts Council,Arts,44400.0
American Council of Life Insurers (ACLI),Insurance,44400.0
Association of Perioperative Registered Nurses,Health Care,44262.930000000015
Vermont Federation of Sportmen's Clubs,Gun,43847.520000000004
Vermont Council on Rural Development,Agriculture ,43474.90000000002
CNSI,Telecommunications,43200.0
Satelilite Broadcasting & Communications,Telecommunications,43124.15
TransCanada Hydro Northeast,Energy,42976.0031
Vermont Council of Special Education Administrators - VCSEA,Education,42715.469999999994
Verus Financial LLC,Bank & Finance,42500.0
Vermont Trial Judges Association,Civil & Criminal Justice,42000.0
Vermont Veterinary Medical Association,Veterinarians,41945.0
Vermont Ground Water Association,Environment,41250.0
Lyndon Institute,Education,41005.83
"Preservation Trust of Vermont, Inc",Environment,41000.0
Myers Waste &amp; Recycle,Environment,40500.0
"Best Bingo Supplies, Inc.",Gaming,40397.0
"Reckitt Benckiser Pharmaceuticals, Inc",Pharmaceuticals,40275.670000000006
Audubon Vermont,Environment,40103.07000000001
Rubber Manufacturers Association,Business,39954.23
Northeast Kingdom Council on Aging,Elderly,38957.66
Vermont Association of Assistant Judges,Civil & Criminal Justice,38460.0
TruGreen,Business,38090.0
Bristol-Myers Squibb,Pharmaceuticals,37938.0
Propy Inc.,Business,37061.36
Civics Proficiency Institute,Education,36895.8
Vermont Association of County Judges,Civil & Criminal Justice,36670.75
Community Justice Network of Vermont,Civil & Criminal Justice,36500.0
Southwestern Vermont Council on Aging,Elderly,36407.76000000001
Myers Waste and Recycle,Environment,36000.0
Vermont Press Association,Media & Journalism,35854.0
Council for Biotechnology Information (BIO-CBI),Pharmaceuticals,35800.0
Caterpillar,Manufacturing,35000.0
Vermonters for Honest Government,Government & Public Affairs,34896.64
Vermont Chapter of the Sierra Club,Environment,34543.0
Waitsfield and Champlain Valley Telecom,Telecommunications,33958.71
"AstraZeneca Pharmaceuticals, LP",Pharmaceuticals,33878.0
Associates Industries of Vermont,Manufacturing,33806.33
Myers Containers & Recycling,Environment,33653.0
Lake Champlain Committee,Environment,33634.45
National Association of Vision Care Plans,Health Care,33335.0
Vermont Psychiatric Association,Health Care,32600.0
Vermont Psychological Association,Health Care,32550.0
RELX Inc.,E-commerce,32515.0
ClearChoiceMD,Health Care,32500.0
Central Vermont Council on Aging,Elderly,32205.40000000001
Public Assets Institute,Government & Public Affairs,32146.15
Association for Accessible Medicines,Health Care,32135.1
"Molina Healthcare, Inc",Health Care,32122.8
Vermont Nurse Practitioner Association,Labor Unions,32060.46
"Encore Capital Group, Inc.",Bank & Finance,32000.0
Vermont Legal Aid,Civil & Criminal Justice,31981.489999999998
Corrections Corporation of America,Prisons,31901.23
Disability Rights Vermont,Accessibility,31224.9
VTel Wireless,Telecommunications,31050.0
Elevator Industry Work Preservation Fund,Environment,30471.0
"Syngenta Crop Protection, LLC",Agriculture ,30333.0
IGPS Logistics LLC,Manufacturing,30000.0
Town of Vernon,Government & Public Affairs,30000.0
American Cancer Society Action Network ( ACS CAN ),Health Care,29979.649999999998
Weyerhaeuser Company and Its Affilliates,Environment,29894.589999999993
WestRock,Business,29741.43
Property and Casualty Insurers Association of America,Insurance,29733.209999999995
"Cisco Systems, Inc.",Telecommunications,29220.0
"GII Development, LLC",Real Estate,29203.33
Energize Vermont,Energy,29105.53
National Electrical Manufacturers Association,Health Care,29000.0
Pyrofax Energy,Energy,28862.5
Vermont Association of Naturopathic Physicians,Health Care,28750.0
Central Vermont Chamber of Commerce,Business,28655.179999999997
Caterpillar Inc.,Manufacturing,28000.0
Vermont Workers' Center,Health Care,27357.789999999994
"Snyder Braverman Development Company, LLC",Real Estate,27000.0
American Lung Association,Health Care,26825.459999999995
Bullrock Deutsche Eco Solar,Energy,26516.9
Vermont Assoc. for Ethical Healthcare,Health Care,26500.0
Vermont Cannabis Trades Association,Marijuana,26500.0
Vermont Chapter of the American Physical Therapy Association,Health Care,26240.26
Vermont Ski Areas Associaton,Ski Industry,25608.0
Vermont Head Start Association,Education,24594.0
American Civil Liberties Union of Vermont (ACLU),Civil & Criminal Justice,24120.07
MPA - The Association of Magazine Media,Media & Journalism,24049.59
Vermont Trappers Association,Environment,24000.0
Vermont Assn of Domestic Property & Casualty Insurance Companies,Insurance,23974.65
"Boehringer Ingelheim Pharmaceuticals, Inc.",Pharmaceuticals,23398.41
"Association of Vermont Credit Unions, Inc",Bank & Finance,22925.25
WCAX,Telecommunications,22400.0
America's Natural Gas Alliance,Energy,22147.54
"Vermont Legal Aid, Inc",Civil & Criminal Justice,22103.859999999997
Vermont Association of Area Agencies on Aging,Elderly,21698.499999999996
"Porter Medical Center, Inc.",Health Care,21464.31
"Suburban Propane, LP",Energy,21350.0
Shelburne Farms,Agriculture ,21250.0
Vermont Independent Power Producers Association (VIPPA),Energy,21225.0
Town/Village of Woodstock,Government & Public Affairs,20962.13
"Century International Arms, Inc.",Gun,20567.690000000002
American Family Life Assurance Company,Insurance,20500.0
"Physicians Families and Friends for a Better Vermont, Education Fund",Marijuana,20399.32
APS Healthcare ( innovatiave Resource Group LLC),Health Care,19800.0
"Vermont Independent Pharmacists Association, LLC",Pharmaceuticals,19755.0
"Apple, Inc.",Business,19652.74
"Green Mountain Clean Energy, LLC",Energy,18750.0
AstraZeneca Pharmaceuticals. LP,Pharmaceuticals,18734.2
Master Limited Partnership Association (MLPA),Business,18720.0
"Reckitt Benckiser Pharmaceuticals, Inc.",Pharmaceuticals,18528.0
Vertex Pharmaceuticals Incorporated,Pharmaceuticals,18500.0
Acadia Insurance,Insurance,18219.0
Giffords,Gun,18043.06
"Council on Aging for Southeastern Vermont, Inc",Elderly,18017.770000000004
Association of Equipment Manufactures,Manufacturing,18000.0
Mosaic Learning Center,Education,18000.0
"ArcLight Capital Partners, LLC",Bank & Finance,18000.0
First American Title Insurance Co.,Insurance,18000.0
Vermont School Board Insurance Trust (VSBIT),Education,17962.339999999997
College Board,Education,17821.33
GBLC,Labor Unions,17775.0
Vermont Podiatric Medical Association,Health Care,17645.0
Pathways Vermont,Health Care,17627.77
Lake Champlain International,Environment,17402.699999999997
"General Dynamics -- OTS, Inc.",Defense Armament,17396.0
Vermont Education Health Care Initiative (VEHI),Health Care,17253.34
"Spark Networks USA, LLC",Telecommunications,16874.29
Central Vermont Council On Aging,Elderly,16661.45
Central Vermont Medical Center,Health Care,16541.97
Insurance Auto Auctions Inc.,Insurance,16460.5
"Council on Aging for Southeastern Vermont, Inc.",Elderly,16198.599999999999
"Bayer HealthCare, LLC",Pharmaceuticals,16135.939999999999
Vermont Independent Power Producers Association,Energy,16085.0
Vermont Mental Health Counselors Association,Health Care,16000.0
Sunovion Pharmaceuticals Inc.,Pharmaceuticals,15930.3
"People For Acupuncture, Inc.",Health Care,15250.0
"Brooks Bawden, LLC",Firm,15143.2
Physician Assistant Academy of Vermont,Health Care,15075.0
iGPS Logistics LLC,Manufacturing,15000.0
National Electrical Manufacturers Association,Manufacturing,15000.0
Leading Age Vermont,Elderly,14925.0
National Association of Mutual Insurance Companies (NAMIC),Insurance,14807.930000000004
Burlington Housing Authority,Housing,14717.25
Bruce M. Lisman,Business,14610.39
Town of Waterbury,Government & Public Affairs,14377.5
National Life Group,Health Care,14372.0
Village of Lyndonville Electric Department,Government & Public Affairs,14061.350000000002
"Taser International, Inc.",Defense Armament,14000.0
GlaxoSmithKline,Pharmaceuticals,13993.0
Swanton Wind LLC,Energy,13905.97
Upper Valley Land Trust,Environment,13750.0
Teamsters Union Local 597,Labor Unions,13575.0
Southwestern Council on Aging,Elderly,13468.6
"American Cancer Society, New England Division",Health Care,13446.0
Vermont Association for the Education of Young Children,Education,13399.22
Reinsurance Association of America,Insurance,13275.0
"American Cancer Society, Inc.",Health Care,13256.58
Vermont Pharmacists Associaton,Pharmaceuticals,13239.0
Village of Morrisville Water & Light Department,Government & Public Affairs,12925.400000000001
Vermont Ski Areas Association ,Ski Industry,12810.0
Prudential Financial Inc.,Bank & Finance,12632.5
Amgen,Pharmaceuticals,12461.419999999998
"Vermont Growers, Inc.",Agriculture ,12180.0
Bayer U.S. LLC,Pharmaceuticals,12102.699999999995
Pine State Trading Co.,Alcohol,12010.0
"Cigar Association of America, Inc.",Tobacco,12000.0
APETROP USA,Insurance,12000.0
"Honda North America, Inc.",Transportation,12000.0
Chittenden Solid Waste District,Environment,11995.52
Coca-Cola of Northern New England,Non-alcoholic beverages,11870.0
Village of Ludlow Electric Light Department,Government & Public Affairs,11365.910000000002
Vermont Campaign for Health Care Security Education Fund,Health Care,11299.57
Commonwealth Land Title Insurance Co.,Insurance,11280.0
Vermont Campaign for Health Care Security,Health Care,11083.75
Wireless Telecommunication Tax Simplification Coalition,Telecommunications,11066.98
AFLAC,Insurance,11060.0
Citigroup Management Corp,Bank & Finance,10864.12
Shoreham Telephone Company,Telecommunications,10837.349999999999
American Lung Association of Vermont,Health Care,10765.25
Vermont Veterinary Medical Society,Veterinarians,10750.0
Vermont Agricultural Fairs Association,Agriculture ,10617.360000000002
Direct Marketing Association,Telecommunications,10516.48
Vermont Coalition for Vaccine Choice (VCVC),Health Care,10500.0
American Society for the Prevention of Cruelty to Animals,Environment,10090.140000000001
Town of Bennington,Government & Public Affairs,10000.0
Rutland Redevelopment Authority/City of Rutland,Government & Public Affairs,10000.0
Migrant Justice,Civil & Criminal Justice,10000.0
Town of Springfield,Government & Public Affairs,10000.0
Nurse-Family Partnership,Health Care,10000.0
Sd Associates LLC,Health Care,10000.0
Vermont Worker's Center,Health Care,9683.11
Northwestern Medical Center,Health Care,9660.22
Vermont Academy of Nutrition and Dietetics,Health Care,9650.0
"Beacon Information Designs, LLC",Marijuana,9610.0
American Suppressor Association,Gun,9605.34
Ludlow Telephone Company,Telecommunications,9553.48
Vermont Planners Association,Urban issues,9436.7
Senior Solutions - Council on Aging,Elderly,9401.57
"Village of Swanton, Inc Electric Department",Government & Public Affairs,9357.710000000001
Spectrum Youth and Family Services,Children & Youth,9064.99
Real Estate Valuation Advocacy Association,Real Estate,9040.0
"Rights & Democracy Project, Inc.",Poverty,8879.49
Magellan Health Services,Health Care,8791.0
Vermont Speech-Language Hearing Association,Health Care,8750.0
Howard Center,Health Care,8444.99
American Council Of Life Insurers ( ACLI ),Insurance,8364.25
Novartis Pharmaceuticals Corporation,Pharmaceuticals,8239.74
CenturyLink,Telecommunications,8210.0
Town of Hardwick Electric Department,Government & Public Affairs,8076.209999999999
Vermont Press Associaton,Media & Journalism,8075.0
Vermont Fuel Dealers Association ,Energy,8000.0
Insurance Auto Auctions,Insurance,7880.0
Burton Snowboards,Ski industry,7875.0
"Bradford Healthcare Company, LLC",Health Care,7800.0
Wireless Telecommunications Tax Simplifiation Coalition,Telecommunications,7542.08
Presidio Network Solutions,Prisons,7500.0
Hunger Free Vermont,Poverty,7270.829999999999
John Deere Financial,Bank & Finance,7268.0
Apetrop USA Inc.,Insurance,7220.0
Northfield Telephone Company,Telecommunications,7119.430000000001
Enosburg Falls Water & Light Department,Government & Public Affairs,6871.6
Rural Education Action Project,Education,6855.17
Village of Northfield Electric Department,Government & Public Affairs,6839.21
"Ben & Jerry's Homemade, Inc.",Business,6832.7
"National Association of Social Workers, Vermont Chapter",Labor Unions,6750.0
Aprexis Health Solutions,Health Care,6750.0
American Council Of Life Insurers (ACLI),Insurance,6700.0
"Vermont Green Mountain Growers, LLC",Marijuana,6675.35
"Village of Swanton, Inc. Electric Department",Government & Public Affairs,6603.28
"Orrick, Herrington &amp; Sutcliffe LLP",Firm,6453.419999999999
Vermonters for Criminal Justice Reform,Civil & Criminal Justice,6436.49
350 Vermont,Environment,6329.730000000001
America's Promise - The Alliance for Youth,Children & Youth,6150.0
Southwestern Vermont Health Care,Health Care,6109.84
"Allergan, Inc.",Pharmaceuticals,6051.5
American Cancer Society Cancer Action Network (ACS CAN),Health Care,6000.0
"Apple, Inc",Business,6000.0
Employee Health Alliance,Health Care,6000.0
Brain Injury Association of Vermont,Health Care,6000.0
Lake Dunmore/Fern Lake Association,Environment,6000.0
Roche Diagnostics Corporation,Health Care,5942.4
CTIA - The Wireless Association,Telecommunications,5900.969999999999
Topsham Telephone Company,Telecommunications,5836.319999999999
Vermont Council of Special Education Administrators,Education,5826.25
Village of Orleans Electric Department,Government & Public Affairs,5610.2300000000005
"Central Vermont Council on Aging, Inc",Elderly,5565.25
Wireless Telecommunications Tax Simplifation Coalition,Telecommunications,5475.169999999999
Franklin Telephone Company,Telecommunications,5456.24
Perkinsville Telephone Company,Telecommunications,5431.4800000000005
Village of Johnson Water & Light Department,Government & Public Affairs,5368.469999999999
Wireless Telecommunications Tax Simplifation Coal.,Telecommunications,5362.610000000001
MPA - Association of Magazine Media,Media & Journalism,5150.0
Northstar Fireworks Dislpay,Retail,5000.0
Town of St. Johnsbury,Government & Public Affairs,5000.0
Vermont Health Care for all,Health Care,5000.0
City of Newport,Government & Public Affairs,5000.0
Alliance of Health Care Sharing Ministries,Health Care,5000.0
"City of Montpelier, Vermont",Government & Public Affairs,5000.0
Recovery House Inc.,Health Care,5000.0
"Imperium Advisors, LLC",Education,4949.84
Vermont Health Care for All,Health Care,4887.5
Northeast Organic Farming Association of Vermont,Agriculture ,4832.14
"NextEra Energy Resources, LLC",Energy,4800.0
"Suburban Propane, L.P.",Energy,4800.0
CNH Industrial America LLC,Manufacturing,4742.0
Mt. Ascutney Hospital and Health Care,Health Care,4656.71
Equifax Inc,Bank & Finance,4551.070000000001
Vanu Coverage Co.,Telecommunications,4519.0
Village of Hyde Park Electric Department,Government & Public Affairs,4487.650000000001
"Vermont Assn of Snow Travelers, Inc",Ski Industry,4413.0
"CompTIA Member Services, LLC",Telecommunications,4394.36
"UCB, Inc.",Pharmaceuticals,4331.18
Bayer Corporation,Pharmaceuticals,4325.06
Solar Communities,Energy,4200.0
Toxics Action Center Campaigns,Environment,4177.0
American Red Cross - Vermont & the New Hampshire Upper Valley,Health Care,4148.0
Vermont Rail Action Network,Transportation,4111.31
AAA,Insurance,4094.0
Bayer HealthCare LLC,Pharmaceuticals,4071.99
Bayer Healthcare. LLC,Pharmaceuticals,4046.13
ANA-Vermont,Health Care,3996.56
"Burlington Laboratories, Inc",Pharmaceuticals,3750.0
Vermont State Nurses Association,Labor Unions,3669.59
Morrisville Water & Light Department,Energy,3538.2
Vermont Health Care Assocation,Health Care,3500.0
Internet Association,Business,3367.5800000000004
Vermont Superintendents Assn,Education,3281.9
Wireless Telecommunication Tax Simplification,Telecommunications,3256.92
"Welltower, Inc.",Real Estate,3248.0
Cedar Hill Continuing Care Community,Health Care,3156.71
Vail Resorts Management Company,Ski industry,3125.0
"Vermont Rural Education Collaborative, Inc.",Education,3090.0
Association of Vermont Credit Unions (2),Bank & Finance,3064.95
First Data Corporation,Bank & Finance,2720.71
TD Bank US Holding Company,Bank & Finance,2658.26
