bill,year,date_intro,title,act,sector
S.263,2014,1/7/14,An act relating to the authority of assistant judges in child support contempt proceedings,185,Civil & Criminal Justice
H.777,2018,1/31/18,An act relating to the Clean Water State Revolving Loan Fund,185,Environment
H.711,2018,1/25/18,An act relating to employment protections for crime victims,184,Civil & Criminal Justice
S.202,2014,1/7/14,An act relating to the energy efficiency charge,184,Energy
S.28,2013,1/15/13,An act relating to gender-neutral nomenclature for the identification of parents on birth certificates,183,Civil & Criminal Justice
H.707,2018,1/25/18,An act relating to the prevention of sexual harassment,183,Civil & Criminal Justice
H.696,2018,1/24/18,An act relating to establishing a State individual mandate,182,Health Care
S.281,2014,1/7/14,An act relating to vision riders and a choice of providers for vision and eye care services,182,Health Care
H.576,2018,1/9/18,An act relating to stormwater management,181,Environment
H.413,2013,2/28/13,An act relating to the Uniform Collateral Consequences of Conviction Act,181,Civil & Criminal Justice
H.225,2013,2/8/13,An act relating to a statewide policy on the use of and training requirements for electronic control devices,180,?
H.904,2018,2/28/18,An act relating to miscellaneous agricultural subjects,180,Agriculture
H.885,2014,3/25/14,An act relating to making appropriations for the support of government,179,Government & Public Affairs
H.593,2018,1/10/18,An act relating to miscellaneous consumer protection provisions,179,
H.864,2014,2/25/14,An act relating to capital construction and State bonding budget adjustment,178,Government & Public Affairs
S.173,2018,1/3/18,An act relating to sealing criminal history records when there is no conviction,178,Civil & Criminal Justice
S.237,2018,1/3/18,An act relating to providing representation to needy persons concerning immigration matters,177,?
H.681,2014,1/23/14,"An act relating to the professional regulation for veterans, military service members, and military spouses",177,?
H.552,2014,1/7/14,An act relating to raising the Vermont minimum wage,176,Labor Issues
S.166,2018,1/3/18,An act relating to the provision of medication-assisted treatment for inmates,176,Health Care
S.150,2018,1/3/18,An act relating to automated license plate recognition systems,175,?
S.208,2014,1/7/14,An act relating to solid waste management,175,Environment
S.260,2016,6/9/16,An act relating to improving the siting of energy projects,174,Energy
H.884,2014,3/25/14,An act relating to miscellaneous tax changes,174,?
S.111,2017,3/2/17,An act relating to privatization contracts,174,?
S.243,2016,1/5/16,An act relating to combating opioid abuse in Vermont,173,Health Care
H.897,2018,2/22/18,"An act relating to enhancing the effectiveness, availability, and equity of services provided to students who require additional support",173,Health Care
H.646,2014,1/21/14,An act relating to unemployment insurance,173,Labor Issues
H.608,2018,1/11/18,An act relating to creating an Older Vermonters Act working group,172,Labor Issues
H.875,2016,3/22/16,An act relating to making appropriations for the support of government,172,Government & Public Affairs
H.526,2013,3/25/13,An act relating to the establishment of lake shoreland protection standards,172,Environment
H.764,2018,1/30/18,An act relating to data brokers and consumer protection,171,?
H.650,2014,1/21/14,An act relating to establishing the Ecosystem Restoration and Water Quality Improvement Special Fund,171,Environment
H.559,2012,1/17/12,An act relating to health care reform implementation,171,Health Care
H.857,2016,3/8/16,An act relating to timber harvesting,171,Environment
H.581,2014,1/10/14,An act relating to guardianship of minors,170,Children & Youth
H.636,2018,1/17/18,An act relating to miscellaneous fish and wildlife subjects,170,Environment
S.183,2016,1/5/16,An act relating to permanency for children in the child welfare system,170,Children & Youth
S.214,2012,1/3/12,An act relating to the Vermont energy act of 2012,170,Energy
H.501,2013,3/12/13,An act relating to operating a motor vehicle under the influence of alcohol or drugs,169,?
S.155,2016,1/5/16,An act relating to privacy protection and a code of administrative rules,169,?
S.289,2018,1/3/18,An act relating to protecting consumers and promoting an open Internet in Vermont.,169,Telecommunications
S.180,2011,5/5/11,An act relating to the universal service fund and establishment of a high-cost program,169,?
S.14,2015,1/14/15,An act relating to amendments to the marijuana for medical symptom use statutes,168,Marijuana
S.260,2018,1/3/18,An act relating to funding the cleanup of State waters,168,Environment
H.778,2012,3/20/12,An act relating to structured settlements and to prohibiting collusion as an antitrust violation,168,?
H.325,2013,2/21/13,An act relating to the rights of children of arrested and incarcerated parents,168,Children & Youth
H.869,2016,3/15/16,An act relating to judicial organization and operations,167,Civil & Criminal Justice
H.699,2012,1/31/12,An act relating to scrap metal processors,167,Environment
H.912,2018,3/2/18,An act relating to the health care regulatory duties of the Green Mountain Care Board,167,Health Care
H.872,2014,3/13/14,An act relating to the State's Transportation Program and miscellaneous changes to the State's transportation laws,167,Transportation
H.747,2012,2/1/12,An act relating to cigarette manufacturers,166,Tobacco
H.355,2015,2/27/15,An act relating to licensing and regulating foresters,166,Environment
H.270,2013,2/14/13,An act relating to providing access to publicly funded prekindergarten education,166,Education
H.910,2018,3/1/18,An act relating to the Open Meeting Law and the Public Records Act,166,Government & Public Affairs
S.148,2012,1/3/12,An act relating to expediting development of small and micro hydroelectric projects,165,Energy
H.894,2018,2/20/18,"An act relating to pensions, retirement, and setting the contribution rates for municipal employees",165,Labor Issues
S.216,2016,1/5/16,An act relating to prescription drugs,165,Pharmaceuticals
S.275,2014,1/7/14,An act relating to the Court's jurisdiction over youthful offenders,165,Children & Youth
H.728,2018,1/30/18,An act relating to bail reform,164,Civil & Criminal Justice
S.251,2012,2/24/12,An act relating to miscellaneous amendments to laws pertaining to motor vehicles,164,?
S.215,2016,1/5/16,An act relating to the regulation of vision insurance plans,164,Health Care
S.256,2014,1/7/14,An act relating to the solemnization of a marriage by a Judicial Bureau hearing officer,164,Civil & Criminal Justice
S.174,2016,1/5/16,An act relating to a model State policy for use of body cameras by law enforcement officers,163,Civil & Criminal Justice
H.676,2018,1/23/18,An act relating to miscellaneous energy subjects,163,Energy
S.218,2014,1/7/14,An act relating to temporary employees,163,Labor Issues
S.183,2012,1/3/12,An act relating to the testing of potable water supplies,163,Environment
H.781,2012,3/20/12,An act relating to making appropriations for the support of government,162,Government & Public Affairs
S.168,2014,2/14/14,An act relating to making miscellaneous amendments to laws governing municipalities,162,Government & Public Affairs
H.562,2018,1/3/18,An act relating to parentage proceedings,162,Children & Youth
S.154,2015,2/25/15,"An act relating to stalking, criminal threatening, and enhanced penalties for assault",162,Civil & Criminal Justice
H.769,2012,3/15/12,An act relating to department of environmental conservation fees,161,Environment
S.20,2015,1/15/15,An act relating to establishing and regulating dental therapists,161,Health Care
S.86,2013,2/7/13,An act relating to miscellaneous changes to election laws and to lobbyist reporting,161,Government & Public Affairs
H.554,2018,1/3/18,An act relating to the regulation of dams and the testing of groundwater sources,161,Environment
H.878,2016,3/25/16,An act relating to capital construction and State bonding budget adjustment,160,Government & Public Affairs
H.882,2014,3/21/14,An act relating to compensation for certain State employees,160,Labor Issues
H.759,2012,2/15/12,An act relating to permitting the use of secure residential recovery facilities for continued involuntary treatment,160,Health Care
H.526,2017,4/11/17,An act relating to regulating notaries public,160,Government & Public Affairs
H.751,2012,2/2/12,An act relating to jurisdiction of delinquency proceedings,159,Civil & Criminal Justice
H.869,2014,2/28/14,An act relating to miscellaneous agricultural subjects,159,Agriculture
S.225,2018,1/3/18,An act relating to pilot programs for coverage by commercial health insurers of costs associated with medication-assisted treatment,159,Health Care
H.877,2016,3/24/16,An act relating to transportation funding,159,Transportation
S.223,2012,1/3/12,"An act relating to health insurance coverage for early childhood developmental disorders, including autism spectrum disorders",158,Health Care
H.555,2014,1/7/14,An act relating to the commitment of a criminal defendant who is incompetent to stand trial because of a traumatic brain injury,158,Civil & Criminal Justice
H.876,2016,3/23/16,An act relating to the transportation capital program and miscellaneous changes to transportation-related law,158,Transportation
H.917,2018,3/2/18,An act relating to the Transportation Program and miscellaneous changes to transportation-related law,158,Transportation
H.483,2013,3/12/13,An act relating to adopting revisions to Article 9 of the Uniform Commercial Code,157,?
S.199,2012,1/3/12,An act relating to immunization exemptions and the immunization pilot program,157,Health Care
H.916,2018,3/2/18,An act relating to increasing the moral obligation authority of the Vermont Economic Development Authority,157,?
H.868,2016,3/15/16,An act relating to miscellaneous economic development provisions,157,?
S.113,2012,1/3/12,"An act relating to prevention, identification, and reporting of child abuse and neglect at independent schools",156,Children & Youth
H.562,2016,1/15/16,An act relating to professions and occupations regulated by the Office of Professional Regulation and to the review of professional regulation,156,Labor Issues
H.908,2018,3/1/18,An act relating to the Administrative Procedure Act,156,?
S.291,2014,1/7/14,An act relating to the establishment of transition units at State correctional facilities,156,Civil & Criminal Justice
H.899,2018,2/22/18,An act relating to a town fee report and request,155,?
S.106,2011,4/8/11,"An act relating to miscellaneous changes to municipal government law, to internal financial controls, to the management of search and rescue operations, and to emergency medical services",155,Government & Public Affairs
S.247,2014,1/7/14,An act relating to the regulation of marijuana for symptom relief and dispensaries,155,Marijuana
H.533,2016,1/8/16,An act relating to victims' rights and animal welfare,155,Environment
S.241,2014,1/7/14,An act relating to binding arbitration for State employees,154,Labor Issues
S.95,2011,3/15/11,"An act relating to employment decisions based on credit information, allowing school employees to be paid wages over the course of a year, and union organizing",154,Labor Issues
H.895,2018,2/21/18,An act relating to legislative review of certain report requirements,154,?
H.595,2016,1/21/16,An act relating to potable water supplies from surface waters,154,Environment
H.874,2018,2/6/18,An act relating to inmate access to prescription drugs,153,Pharmaceuticals
H.95,2015,1/29/15,An act relating to jurisdiction over delinquency proceedings by the Family Division of the Superior Court,153,Civil & Criminal Justice
S.234,2014,1/7/14,An act relating to Medicaid coverage for home telemonitoring services,153,Health Care
H.770,2012,3/15/12,An act relating to the state's transportation program,153,Transportation
S.225,2014,1/7/14,An act relating to a report on recommended changes in the structure of Vermont State employment in order to reduce employment-related stress,152,Labor Issues
H.464,2012,1/3/12,An act relating to hydraulic fracturing wells for natural gas and oil production,152,Energy
S.255,2016,1/5/16,"An act relating to regulation of hospitals, health insurers, and managed care organizations",152,Health Care
H.859,2018,2/2/18,An act relating to requiring municipal corporations to affirmatively vote to retain ownership of lease lands,152,Real Estate
S.214,2016,1/5/16,An act relating to large group insurance,151,Insurance
S.211,2014,1/7/14,An act relating to permitting of sewage holding and pumpout tanks for public buildings,151,Environment
S.245,2012,1/3/12,An act relating to requiring cardiovascular care instruction in public and independent schools,151,Health Care
H.806,2018,2/1/18,An act relating to the Southeast State Correctional Facility,151,Civil & Criminal Justice
H.739,2018,1/30/18,An act relating to energy productivity investments under the self-managed energy efficiency program,150,Energy
S.195,2014,1/7/14,"An act relating to increasing the penalties for second or subsequent convictions for disorderly conduct, and creating a new crime of aggravated disorderly conduct",150,Civil & Criminal Justice
S.200,2012,1/3/12,"An act relating to pharmacy audits, reimbursement for ambulance services, and the reporting requirements of health insurers",150,Pharmaceuticals
S.123,2015,3/10/15,An act relating to standardized procedures for permits and approvals issued by the Department of Environmental Conservation,150,Environment
H.872,2016,3/18/16,An act relating to Executive Branch fees,149,Government & Public Affairs
H.736,2018,1/30/18,An act relating to lead poisoning prevention,149,Environment
S.70,2013,2/1/13,An act relating to the delivery of raw milk at farmers' markets,149,Agriculture
H.766,2012,3/13/12,An act relating to the rehabilitation of Vermont National Guard members and certain rights and responsibilities of guard members and their employers,149,?
S.40,2013,1/18/13,An act relating to establishing an interim committee that will develop policies to restore the 1980 ratio of state funding to student tuition at Vermont State Colleges and to make higher education more affordable,148,?
H.485,2012,1/5/12,An act relating to establishing universal recycling of solid waste,148,Environment
H.731,2018,1/30/18,An act relating to miscellaneous workers' compensation and occupational safety amendments,148,Labor Issues
H.859,2016,3/11/16,An act relating to special education,148,Education
H.571,2016,1/15/16,"An act relating to driver's license suspensions and judicial, criminal justice, and insurance topics",147,Civil & Criminal Justice
H.823,2014,2/4/14,An act relating to encouraging growth in designated centers and protecting natural resources,147,Environment
S.244,2012,1/3/12,An act relating to referral to court diversion for driving with a suspended license,147,Civil & Criminal Justice
H.727,2018,1/30/18,An act relating to the admissibility of a child's hearsay statements in a proceeding before the Human Services Board,147,Civil & Criminal Justice
S.217,2012,1/3/12,An act relating to closely held benefit corporations,146,?
H.718,2018,1/26/18,An act relating to creation of the Restorative Justice Study Committee,146,Civil & Criminal Justice
H.809,2014,1/31/14,An act relating to designation of new town centers and growth centers,146,?
S.55,2015,2/4/15,An act relating to Vermont's estate tax,146,Real Estate
H.710,2018,1/25/18,An act relating to beer franchises,145,Alcohol
S.189,2012,1/3/12,An act relating to expanding confidentiality of cases accepted by the court diversion project,145,Civil & Criminal Justice
H.570,2016,1/15/16,"An act relating to hunting, fishing, and trapping",145,Environment
H.740,2014,1/28/14,An act relating to transportation impact fees,145,Transportation
S.250,2016,1/5/16,An act relating to alcoholic beverages,144,Alcohol
H.596,2014,1/14/14,An act relating to miscellaneous amendments to health care laws,144,Health Care
S.116,2012,1/3/12,"An act relating to probate proceedings, powers of attorney, and county budget reserve funds",144,Civil & Criminal Justice
H.684,2018,1/23/18,An act relating to professions and occupations regulated by the Office of Professional Regulation,144,Labor Issues
H.782,2012,3/22/12,An act relating to miscellaneous tax changes for 2012,143,?
H.663,2018,1/18/18,An act relating to municipal land use regulation of accessory on-farm businesses,143,Agriculture
S.245,2016,1/5/16,An act relating to notice to patients of new health care provider affiliations,143,Health Care
H.497,2013,3/12/13,An act relating to the open meeting law,143,Government & Public Affairs
H.660,2018,1/18/18,An act relating to establishing the Commission on Sentencing Disparities and Criminal Code Reclassification,142,Civil & Criminal Justice
H.496,2012,1/6/12,An act relating to preserving Vermont's working landscape,142,?
H.877,2014,3/18/14,An act relating to repeal of report requirements that are at least five years old,142,?
S.224,2016,1/5/16,An act relating to warranty obligations of equipment dealers and suppliers,142,?
H.639,2018,1/17/18,An act relating to banning cost-sharing for all breast imaging services,141,Insurance
H.413,2011,3/8/11,"An act relating to creating a civil action against those who abuse, neglect, or exploit a vulnerable adult",141,Civil & Criminal Justice
H.765,2014,1/30/14,An act relating to establishing new levels of law enforcement officer certification,141,Civil & Criminal Justice
S.190,2016,1/5/16,An act relating to maintaining prescription drugs outside the original prescription container,141,Pharmaceuticals
H.728,2014,1/28/14,An act relating to developmental services' system of care,140,?
S.171,2016,1/5/16,An act relating to eligibility for pretrial risk assessment and needs screening,140,Civil & Criminal Justice
H.412,2011,3/8/11,An act relating to harrassment in educational settings,140,Education
H.603,2018,1/11/18,An act relating to human trafficking,140,Civil & Criminal Justice
H.410,2017,2/23/17,"An act relating to appliance efficiency, energy planning, and electric vehicle parking",139,Energy
S.157,2016,1/5/16,An act relating to breast density notification and education,139,Health Care
H.695,2014,1/24/14,An act relating to establishing a product stewardship program for primary batteries,139,Energy
S.252,2012,3/15/12,An act relating to the repeal or revision of reporting requirements,139,?
H.404,2017,2/23/17,An act relating to Medicaid reimbursement for long-acting reversible contraceptives,138,Health Care
H.656,2014,1/22/14,An act relating to professions and occupations regulated by the Office of Professional Regulation,138,Labor Issues
S.202,2012,1/3/12,"An act relating to regulation of flood hazard areas, river corridors, and stream alteration",138,Environment
S.132,2015,3/12/15,An act relating to the prohibition of conversion therapy on minors,138,?
H.578,2014,1/10/14,An act relating to administering State funds for loans to individuals for replacement of failed wastewater systems and potable water supplies,137,Environment
S.116,2015,2/25/15,An act relating to rights of offenders in the custody of the Department of Corrections,137,Civil & Criminal Justice
S.99,2011,3/17/11,"An act relating to supporting mobile home ownership, strengthening mobile home parks and preserving affordable housing",137,Housing
H.378,2017,2/22/17,An act relating to the creation of the Artificial Intelligence Task Force,137,Telecommunications
H.227,2013,2/8/13,An act relating to licensing and regulating property inspectors,136,Real Estate
H.132,2017,1/26/17,An act relating to limiting landowner liability for posting the dangers of swimming holes,136,Real Estate
H.730,2012,2/1/12,An act relating to miscellaneous consumer protection laws,136,?
S.62,2015,2/5/15,An act relating to surrogate decision making for do-not-resuscitate orders and clinician orders for life-sustaining treatment,136,?
